FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
71508,,WENY-TV,35,36,ELMIRA,NY,420831,770439,748,342,73.5,DA,90703,0
71905,,WNLO,32,32,BUFFALO,NY,430148,785514,482,303,1000,ND,,
73113,,WSYR-TV,17,17,SYRACUSE,NY,425642,760127,707,402,105,DA,44725,0
73371,,WHAM-TV,9,13,ROCHESTER,NY,430807,773502,302,152,18,ND,,
73964,,WROC-TV,21,45,ROCHESTER,NY,430808,773501,269.6,122.3,610,DA,69994,346
78908,,WSKA,25,30,CORNING,NY,420830,770438,748,334,22.4,DA,76601,140
168478,,WNYF-CD,35,35,WATERTOWN,NY,435715,754344,484.3,0,15,DA,76489,0
450,,WNCE-CD,31,31,GLENS FALLS,NY,431721,734436,484.7,0,15,DA,89651,280
10132,,WFFF-TV,16,43,BURLINGTON,VT,443133,724855,1261,839,26.4,DA,71757,0
11259,,WVNY,7,13,BURLINGTON,VT,443133,724855,1253,831,10,DA,71724,0
69944,,WETK,32,32,BURLINGTON,VT,443132,724849,1252.7,830,90,ND,,
167948,,WFNY-CD,16,48,GLOVERSVILLE,NY,430606,742213,561,0,0.441,ND,,
47401,,WTKR,16,40,NORFOLK,VA,364832,763012,380,377,565,ND,,
67077,,WPXV-TV,32,46,NORFOLK,VA,364832,763012,363,360,763,DA,19107,0
71125,,WPMC-CD,36,36,MAPPSVILLE,VA,375033,753416,120,0,0.09,DA,16532,120
71127,,WAVY-TV,19,31,PORTSMOUTH,VA,364915,763040,287,280,765,ND,,
82574,,WTPC-TV,7,7,VIRGINIA BEACH,VA,364832,763011,316,310,85,DA,89122,0
13929,,WKBS-TV,6,46,ALTOONA,PA,403404,782625,828.2,305,0.579,ND,,
62136,,WPBS-DT,26,41,WATERTOWN,NY,435146,754338,754.6,370,29.4,ND,,
64547,,WGRZ,33,33,BUFFALO,NY,424307,783346,678.8,295.1,480,DA,70457,0
68143,,W09DB-D,9,9,WILLIAMSPORT,PA,411308,765726,610,0,0.75,DA,1000592,180
71928,,WNED-TV,31,43,BUFFALO,NY,430148,785514,507,328,123,DA,64353,0
53065,,WPXT,34,43,PORTLAND,ME,435106,701938,331,254,116,DA,72996,0
69328,,WLED-TV,23,48,LITTLETON,NH,442110,714413,744.2,390.8,65.4,ND,,
17005,,WABI-TV,13,13,BANGOR,ME,444212,690445,506,391.4,12,ND,,
39648,,WMEB-TV,9,9,ORONO,ME,444211,690445,490,375,15,DA,40127,0
40619,,WGPT,26,36,OAKLAND,MD,392414,791736,1057.5,285,80.8,DA,104334,0
68403,,WTOO-CD,22,23,BOLIVAR,PA,401724,783345,975,0,14.6,DA,1000569,280
71676,,WNPB-TV,34,33,MORGANTOWN,WV,394145,794544,933.8,456.7,172,DA,111831,0
617,,WTVU-CD,25,22,SYRACUSE,NY,430330,760959,222.8,0,15,DA,107222,0
629,,WHSU-CD,23,51,SYRACUSE,NY,430330,760959,226.3,0,3.85,DA,17797,340
2325,,WPXJ-TV,24,23,BATAVIA,NY,425342,780055,585.6,276,465,DA,100808,0
9088,,WBBZ-TV,7,7,SPRINGVILLE,NY,423404,784323,598.7,176,26.9,DA,98559,0
10318,,WBGT-CD,29,46,ROCHESTER,NY,431013,774022,301.5,0,10.7,ND,,
14315,,WONO-CD,24,34,"SYRACUSE, ETC.",NY,430330,760959,224.3,0,2.26,ND,,
14326,,WBNF-CD,15,15,BUFFALO,NY,430132,785542,347.5,0,15,DA,100300,0
16744,,WWNY-CD,18,18,MASSENA,NY,442929,745126,599.4,0,4,ND,,
16747,,WWTI,31,21,WATERTOWN,NY,435247,754311,700,331,31.1,DA,44780,340
30303,,WNYB,5,26,JAMESTOWN,NY,422336,791343,858,463,1.93,DA,85298,0
58739,,WGCE-CD,26,25,ROCHESTER,NY,431114,774208,174,0,4.08,ND,,
67784,,WNYO-TV,16,49,BUFFALO,NY,424658,782727,738,376,99.8,DA,93255,0
14312,,WIXT-CD,27,40,DEWITT,NY,430025,760537,297,0,0.767,DA,17775,0
34341,,WTKO-CD,32,36,ONEIDA,NY,430357,754003,283.4,0,7.83,DA,20470,350
46755,,WCFE-TV,36,38,PLATTSBURGH,NY,444143,735259,1238,737,52.9,DA,84494,0
9762,,WGNT,20,50,PORTSMOUTH,VA,364844,762744,269.1,264,437,ND,,
65387,,WVBT,21,29,VIRGINIA BEACH,VA,364915,763040,248,241,837,DA,30040,0
267,,WWLM-CD,36,20,WASHINGTON,PA,401124,801355,454.9,0,15,DA,20732,161
77515,,WNMN,17,40,SARANAC LAKE,NY,442028,740742,647.8,97,6.94,DA,97736,0
39644,,WLBZ,2,2,BANGOR,ME,444410,684015,268,192,3,ND,,
3667,,WVII-TV,7,7,BANGOR,ME,444535,683359,324,229,14,ND,,
49711,,WSEE-TV,21,16,ERIE,PA,420352,800018,614,271,84.5,DA,68996,0
5981,,WBRA-TV,3,3,ROANOKE,VA,371146,800916,1195,614.3,9.8,ND,,
20295,,WWCP-TV,8,8,JOHNSTOWN,PA,401053,790904,967.9,368,9.3,DA,87806,0
24812,,WWCW,21,20,LYNCHBURG,VA,371915,793757,838.7,500.3,938,DA,87539,0
24813,,WFXR,36,17,ROANOKE,VA,371148,800915,1172,594,1000,DA,90555,0
41315,,WQED,2,13,PITTSBURGH,PA,402646,795750,516,210,5.83,ND,,
50141,,WOUC-TV,6,35,CAMBRIDGE,OH,400532,811718,699.3,385.1,1.72,DA,68039,0
57840,,WSLS-TV,34,30,ROANOKE,VA,371203,800853,1175.6,592,1000,DA,87359,0
69880,,WPCW,11,11,JEANNETTE,PA,402938,800108,564.1,258.9,30,DA,93597,0
