FacID,SrcKey,DTSKey,Site,FileNumber,AppID,Country,D,U,Call,Ch,FromCh,City,St,Lat,Lon,DTSDist,RCAMSL,HAAT,ERP,DA,AntID,Rot,Tilt,Offset,Mask,Type,InCountry,Area,Population,Area,Population,Area,Population,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV,Az,FV
31369,2018,,0,BLDTA20110506AAV,1426442,US,1,1,KUTU-CD,25,,TULSA,OK,36.150287,95.990580,,355.900000,0.000000,7.90,DA,103782,70.000000,-1.0,0,2,3,US,4866.3,794506,4866.3,794506,4866.3,794506,,1.000000,0.980000,0.960000,0.930000,0.930000,0.940000,0.970000,0.990000,0.980000,0.950000,0.870000,0.770000,0.630000,0.470000,0.350000,0.230000,0.210000,0.220000,0.230000,0.220000,0.210000,0.230000,0.350000,0.470000,0.630000,0.770000,0.870000,0.950000,0.980000,0.990000,0.970000,0.940000,0.930000,0.930000,0.960000,0.980000,,,,,,,,,,,,,
33345,1818,,0,BLANK0000001436,2001077,US,1,1,KPTS,8,,HUTCHINSON,KS,38.055955,97.777020,,704.600000,244.000000,32.0,DA,87205,0.000000,0.0,0,0,1,US,27763.7,818052,27763.7,818052,27763.7,818052,,0.980000,0.950000,0.870000,0.780000,0.720000,0.720000,0.770000,0.850000,0.940000,0.980000,0.950000,0.870000,0.790000,0.730000,0.730000,0.770000,0.840000,0.920000,0.980000,0.960000,0.880000,0.800000,0.750000,0.740000,0.790000,0.850000,0.950000,1.000000,0.950000,0.880000,0.790000,0.730000,0.730000,0.770000,0.860000,0.940000,,,,,,,,,,,,,
35388,1522,,0,BLCDT20041207ACV,1033693,US,1,1,KOKH-TV,24,,OKLAHOMA CITY,OK,35.549503,97.488650,,827.800000,475.800000,1000,DA,44126,0.000000,0.8,0,0,1,US,37119.6,1622939,37119.6,1622939,37119.6,1622939,,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,0.985000,0.912000,0.796000,0.669000,0.566000,0.512000,0.522000,0.593000,0.706000,0.833000,0.939000,0.996000,,,,,,,,,,,,,
35434,709,,0,BLCDT20090625ACJ,1318307,US,1,1,KOTV-DT,45,,TULSA,OK,36.020934,95.675815,,748.800000,556.200000,840,ND,,,0.8,0,0,1,US,39733.7,1393298,39733.7,1393298,39733.7,1393298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35645,1300,,0,BLCDT20060707ADG,1135643,US,1,1,KSWO-TV,11,,LAWTON,OK,34.215368,98.720620,,653.000000,327.300000,138,ND,,,0.5,0,0,1,US,40342.1,449101,40342.1,449101,40342.1,449101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35666,1320,,0,BLCDT20060630ABA,1135164,US,1,1,KTEN,26,,ADA,OK,34.359537,96.559723,,672.000000,426.000000,1000,DA,104957,0.000000,0.8,0,0,1,US,37599.4,552163,37599.4,552163,37599.4,552163,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
35685,491,,0,BLCDT20100505AGI,1365147,US,1,1,KTUL,10,,TULSA,OK,35.968990,95.615535,,763.000000,578.000000,15.0,DA,105038,0.000000,0.8,0,0,1,US,37656.4,1367488,37656.4,1367488,37656.4,1367488,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,,,,
35841,300,,0,BLCDT20110919ACP,1444947,US,1,1,KUVN-DT,23,,GARLAND,TX,32.589302,96.970282,,709.000000,517.000000,1000,DA,106662,0.000000,1.0,0,0,1,US,37749.1,6677342,37749.1,6677342,37749.1,6677342,,0.974000,0.955000,0.914000,0.894000,0.920000,0.967000,0.976000,0.916000,0.827000,0.758000,0.721000,0.675000,0.595000,0.469000,0.314000,0.214000,0.249000,0.324000,0.332000,0.270000,0.206000,0.261000,0.385000,0.493000,0.580000,0.669000,0.773000,0.873000,0.952000,0.994000,0.992000,0.951000,0.901000,0.877000,0.907000,0.953000,,,,,,,,,,,,,
35954,1010,,0,BLCDT20090226ACF,1288668,US,1,1,KXII,12,,SHERMAN,TX,34.032876,96.800280,,776.800000,545.500000,36.0,ND,,,1.0,0,0,1,US,44515.6,2263934,44515.6,2263934,44515.6,2263934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37099,1043,,0,BLCDT20090217ACO,1284679,US,1,1,KWHB,47,,TULSA,OK,36.020934,95.675815,,650.600000,460.000000,50.0,DA,85813,0.000000,0.8,0,0,1,US,19137.2,1101314,19137.2,1101314,19137.2,1101314,,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,0.936000,0.917000,0.905000,0.900000,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,,,,,,,,,,,,,
49324,104,,0,BLEDT20140903AFQ,1648240,US,1,1,KERA-TV,14,,DALLAS,TX,32.543470,96.959170,,717.500000,514.400000,975,DA,113863,0.000000,0.8,0,0,1,US,38933.2,6677809,38933.2,6677809,38933.2,6677809,,0.899000,0.900000,0.905000,0.917000,0.936000,0.963000,0.988000,1.000000,0.987000,0.940000,0.854000,0.733000,0.588000,0.437000,0.302000,0.218000,0.207000,0.232000,0.245000,0.232000,0.207000,0.218000,0.302000,0.437000,0.588000,0.733000,0.854000,0.940000,0.987000,1.000000,0.988000,0.963000,0.936000,0.917000,0.905000,0.900000,,,,,,,,,,,,,
50198,1363,,0,BLEDT20060601BJT,1131740,US,1,1,KOET,31,,EUFAULA,OK,35.183709,95.338862,,576.400000,364.100000,1000,ND,,,1.0,0,0,1,US,31016.1,634271,31016.1,634271,31016.1,634271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51101,1348,,0,BLEDT20060620ABP,1132897,US,1,1,KOZJ,25,,JOPLIN,MO,37.077005,94.537726,,577.500000,281.000000,55.0,ND,,,0.8,0,0,1,US,17479.2,432630,17479.2,432630,17479.2,432630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51517,391,,0,BLCDT20110127AAG,1415252,US,1,1,KTXA,29,,FORT WORTH,TX,32.543470,96.959170,,737.000000,533.900000,1000,ND,,,0.8,0,0,1,US,43008.9,6848367,43008.9,6848367,43008.9,6848367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52420,2188,,0,BLANK0000001534,2001195,US,1,1,KHMF-CA,14,,BENTONVILLE,AR,36.393603,94.182761,,476.100000,0.000000,10.1,DA,120583,0.000000,0.0,0,3,3,US,2745.6,339324,2745.6,339324,2745.6,339324,,0.010000,0.010000,0.010000,0.010000,0.015000,0.062000,0.166000,0.281000,0.402000,0.545000,0.702000,0.857000,0.963000,0.993000,0.917000,0.778000,0.773000,0.904000,0.926000,0.802000,0.757000,0.885000,0.989000,0.975000,0.884000,0.736000,0.575000,0.430000,0.303000,0.190000,0.081000,0.018000,0.010000,0.010000,0.010000,0.010000,,,,,,,,,,,,,
54420,1694,,0,BLCDT20021112ABD,618058,US,1,1,KMYT-TV,42,,TULSA,OK,36.026767,95.679148,,572.100000,381.000000,900,ND,,,0.8,0,0,1,US,32121.0,1299553,32121.0,1299553,32121.0,1299553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57431,1272,,0,BLEDT20061011AAM,1144508,US,1,1,KRSU-TV,36,,CLAREMORE,OK,36.400928,95.608590,,460.000000,255.000000,144,DA,76140,0.000000,0.2,0,0,1,US,15240.8,994141,15240.8,994141,15240.8,994141,,0.630000,0.520000,0.390000,0.270000,0.260000,0.270000,0.270000,0.330000,0.340000,0.350000,0.340000,0.330000,0.260000,0.260000,0.270000,0.270000,0.390000,0.520000,0.620000,0.720000,0.770000,0.820000,0.860000,0.910000,0.960000,0.980000,0.990000,1.000000,0.990000,0.980000,0.960000,0.920000,0.870000,0.820000,0.770000,0.720000,,,,,,,,,,,,,
