FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
74109,,WTNH,10,10,NEW HAVEN,CT,412522,725704,440,342,20.5,DA,65037,0
74151,,WTVH,18,47,SYRACUSE,NY,425719,760633,575.5,290.1,274,ND,,
74167,,WVEC,11,13,HAMPTON,VA,364860,762805,368.3,363,35,ND,,
74170,,WVIT,31,35,NEW BRITAIN,CT,414202,724955,532,434,230,DA,65777,0
74197,,WWOR-TV,25,38,SECAUCUS,NJ,404454,735909,410.5,397,130,ND,,
74214,,WUTH-CD,22,47,HARTFORD,CT,414230,722832,274.7,0,9.03,DA,18125,295
74216,,WFPA-CD,35,28,PHILADELPHIA,PA,400230,751410,428.2,0,6.58,DA,20732,230
74416,,WRIC-TV,28,22,PETERSBURG,VA,373046,773605,393.8,328.2,971,ND,,
74422,,WTEN,24,26,ALBANY,NY,423731,740036,681.8,426,669,DA,67986,0
74464,,WPHY-CD,22,50,TRENTON,NJ,400424,751127,189.7,0,3.17,DA,106397,0
76324,,WSKY-TV,13,9,MANTEO,NC,363115,761815,309.9,306,70,ND,,
78908,,WSKA,25,30,CORNING,NY,420830,770438,748,334,22.4,DA,76601,140
84088,,WPFO,17,23,WATERVILLE,ME,440915,700035,416,331,338,DA,87649,0
86537,,WJLP,3,3,MIDDLETOWN TOWNSHIP,NJ,404522,735910,354.4,340.2,6.96,ND,,
136751,,WNYA,7,13,PITTSFIELD,MA,423813,735943,538.3,301,12.7,DA,89843,70
167543,,WPSJ-CD,27,38,HAMMONTON,NJ,394341,745038,286.1,0,4.78,DA,112554,305
167948,,WFNY-CD,16,48,GLOVERSVILLE,NY,430606,742213,561,0,0.441,ND,,
168449,,WAZW-CD,26,46,WOODSTOCK,VA,385736,781951,662,0,10.1,DA,20358,35
168478,,WNYF-CD,35,35,WATERTOWN,NY,435715,754344,484.3,0,15,DA,76489,0
168834,,WDVB-CD,22,23,EDISON,NJ,404454,735909,313.5,0,6.83,DA,98295,260
189357,,WMDE,5,5,DOVER,DE,385718,760534,154.1,145,10,ND,,
189358,,WACP,4,4,ATLANTIC CITY,NJ,394404,745027,287.7,258.4,10,DA,118440,0
190915,,WSVF-CD,36,43,HARRISONBURG,VA,382334,784612,913.2,0,11.4,DA,110559,0
191262,,WMJF-CD,23,39,TOWSON,MD,392410,763611,212,0,3.57,DA,112853,110
191822,,WQAV-CD,26,50,GLASSBORO,NJ,393320,744446,130,0,9.38,DA,115018,265
