FacID,Site,Call,Ch,PC,City,St,Lat,Lon,RCAMSL,HAAT,ERP,DA,AntID,Az
68886,,KUTP,26,26,PHOENIX,AZ,332003,1120343,897.2,531.5,1000,DA,113722,0
7143,,KASW,27,49,PHOENIX,AZ,332002,1120347,863,497,345,DA,43560,0
81458,,KTAZ,29,39,PHOENIX,AZ,332003,1120341,899.5,537.5,449,DA,88484,0
35705,,KTVW-DT,33,33,PHOENIX,AZ,332000,1120349,878.6,510,470,DA,87270,0
2739,,KFPH-CD,35,35,PHOENIX,AZ,332000,1120349,859.6,0,15,DA,24175,15
72618,,KAZT-CD,36,36,PHOENIX,AZ,332002,1120343,853.6,0,15,DA,24175,0
35811,,KAZT-TV,7,7,PRESCOTT,AZ,344115,1120704,2368,792,3.2,ND,,
35095,,KWBA-TV,21,44,SIERRA VISTA,AZ,314532,1104805,1827.1,319,622,DA,65401,0
26655,,KPPX-TV,14,51,TOLLESON,AZ,332003,1120341,902,536,463,ND,,
36918,,KGUN-TV,9,9,TUCSON,AZ,322456,1104253,2670,1140,36.5,DA,119536,0
30601,,KHRR,16,40,TUCSON,AZ,321455,1110659,1383.2,621,235,DA,85448,0
53004,,KFTU-CD,18,18,TUCSON,AZ,322454,1104258,2652.2,0,15,DA,102464,0
11908,,KTTU,19,19,TUCSON,AZ,322456,1104252,2659,1123,480,DA,59934,0
25735,,KVOA,23,23,TUCSON,AZ,322456,1104252,2659,1123,405,DA,68106,0
44052,,KMSB,25,25,TUCSON,AZ,322456,1104252,2659,1123,480,DA,64314,0
2722,,KUAS-TV,28,28,TUCSON,AZ,321253,1110023,953.6,177.9,50,DA,42999,0
2731,,KUAT-TV,30,30,TUCSON,AZ,322455,1104253,2651.1,1092.1,668,DA,67609,0
48663,,KOLD-TV,32,32,TUCSON,AZ,322456,1104252,2659,1123,108,DA,43979,0
78036,,KUVE-CD,36,42,TUCSON,AZ,321456,1110701,1361.9,0,8.9,DA,93775,0
74449,,KYMA-DT,11,11,YUMA,AZ,330310,1144943,772.7,493,22.3,ND,,
33639,,KSWT,13,13,YUMA,AZ,330318,1144942,763.7,480,50,DA,108296,0
24518,,KDOC-TV,12,32,ANAHEIM,CA,341335,1180401,1838,949,52.3,DA,42876,0
8263,,KAEF-TV,22,22,ARCATA,CA,404338,1235821,935.4,549.9,45,DA,81081,0
40878,,KERO-TV,10,10,BAKERSFIELD,CA,352714,1183540,2317.1,1107,10.8,DA,100934,296
57456,,K08MM-D,15,15,BAKERSFIELD,CA,352617,1184426,1099.4,0,5,DA,20071,260
69735,,KBBV-CD,19,19,BAKERSFIELD,CA,352711,1183528,2324,0,11,DA,97878,282
34459,,KGET-TV,25,25,BAKERSFIELD,CA,352617,1184425,1126,405,135,DA,44570,260
7700,,KUVI-DT,26,45,BAKERSFIELD,CA,352620,1184427,1117,404,424,DA,87276,0
51501,,KBFX-CD,29,29,BAKERSFIELD,CA,352711,1183528,2359,0,15,DA,92201,85
34438,,KBTF-CD,31,31,BAKERSFIELD,CA,352715,1183541,2299,0,14.9,DA,88657,253
4148,,KBAK-TV,33,33,BAKERSFIELD,CA,352711,1183528,2343,1128,110,DA,27939,0
18747,,KABE-CD,35,39,BAKERSFIELD,CA,352714,1183540,2299,0,13.9,DA,18181,253
83825,,KVME-TV,20,20,BISHOP,CA,372443,1181109,3314,924,1.9,DA,85486,310
40517,,KAJB,36,36,CALIPATRIA,CA,330302,1144941,757.7,476,155,DA,85249,0
10535,,KPSP-CD,18,38,CATHEDRAL CITY,CA,335156,1162601,492,0,5.83,DA,20753,170
4939,,KBSV,15,15,CERES,CA,373028,1212224,1015.65,575.6,0.421,DA,89659,66
33745,,KNVN,20,24,CHICO,CA,401531,1220528,803.5,540,293,DA,85128,0
51930,,KKPM-CD,28,28,CHICO,CA,391220,1214914,699.8,0,15,DA,99017,0
24508,,KHSL-TV,36,43,CHICO,CA,395729,1214253,1212.8,469,205,DA,78834,0
23302,,KGMC,27,43,CLOVIS,CA,364446,1191700,1046.6,642,205,ND,,
19783,,KVEA,25,39,CORONA,CA,341248,1180344,1708,911,748,DA,89765,0
57945,,KRCB,5,23,COTATI,CA,382054,1223441,803.2,630.4,0.984,DA,75264,0
51208,,KECY-TV,9,9,EL CENTRO,CA,330319,1144947,762,478,50,DA,92199,0
36170,,KVYE,22,22,EL CENTRO,CA,330302,1144941,759,477.4,1000,DA,86584,0
53382,,KIEM-TV,3,3,EUREKA,CA,404349,1235711,922,485,12.5,DA,87953,0
55435,,KEET,11,11,EUREKA,CA,404338,1235821,935.3,549.7,38.4,ND,,
42640,,KVIQ,17,17,EUREKA,CA,404338,1235821,936,550,30,DA,44483,270
58618,,KBVU,28,28,EUREKA,CA,404338,1235821,908,512,50,DA,113739,0
8378,,KQSL,8,8,FORT BRAGG,CA,394138,1233447,1326,744,26,DA,84907,0
67494,,KAIL,7,7,FRESNO,CA,370423,1192555,1386.51,560,38,DA,29423,0
35594,,KSEE,16,38,FRESNO,CA,370419,1192552,1427.3,601.1,201,DA,69073,0
57457,,K17JI-D,17,17,FRESNO,CA,364445,1191700,1032,0,15,DA,110210,250
8620,,KFSN-TV,30,30,FRESNO,CA,370438,1192603,1457.7,625,260,DA,105779,0
69733,,KVPT,32,40,FRESNO,CA,364445,1191654,1102,698,213,DA,67432,0
56034,,KGPE,34,34,FRESNO,CA,370414,1192534,1415,577,185,DA,44959,220
18740,,KZMM-CD,35,22,FRESNO,CA,370419,1192552,1385,0,15,DA,88627,225
34439,,KFTV-DT,21,20,HANFORD,CA,370422,1192553,1410,580,358,DA,29793,0
69753,,KVER-CA,27,41,INDIO,CA,335156,1162601,484.4,0,11.3,DA,16408,205
51656,,KEVC-CD,36,36,INDIO,CA,335156,1162601,484.4,0,5.8,DA,1000537,220
51207,,KDFX-CD,33,39,INDIO/PALM SPRINGS,CA,335158,1162605,488,0,4.26,DA,20753,190
41125,,K10OG-D,10,10,LOMPOC,CA,344425,1202645,388.42,0,3,DA,20776,180
41126,,KLDF-CD,17,17,LOMPOC,CA,344430,1202649,387.4,0,1.4,DA,20732,230
35608,,KSCI,18,18,LONG BEACH,CA,341248,1180344,1704,899,700,DA,117462,0
26231,,KWHY-TV,4,42,LOS ANGELES,CA,341248,1180344,1692,892,3.79,DA,42167,0
282,,KABC-TV,7,7,LOS ANGELES,CA,341337,1180401,1876.5,978,28.7,DA,101157,0
21422,,KCAL-TV,9,9,LOS ANGELES,CA,341338,1180403,1870,977,25,DA,86887,0
22208,,KTTV,11,11,LOS ANGELES,CA,341329,1180351,1782.9,903,115,DA,99538,0
33742,,KCOP-TV,13,13,LOS ANGELES,CA,341329,1180351,1785,905,120,DA,87033,0
60026,,KHTV-CD,22,27,LOS ANGELES,CA,341248,1180344,1679.5,0,7.24,DA,111105,182
13058,,KCET,28,28,LOS ANGELES,CA,341326,1180347,1825.6,926.4,155,DA,87581,0
9628,,KCBS-TV,31,43,LOS ANGELES,CA,341338,1180403,1844,950.9,426,DA,85934,0
167309,,KNLA-CD,32,50,LOS ANGELES,CA,341355,1180421,1921,0,10.7,ND,,
35123,,KMEX-DT,34,34,LOS ANGELES,CA,341336,1180402,1839,956,500,DA,96279,0
35670,,KTLA,35,31,LOS ANGELES,CA,341336,1180359,1848,948,1000,DA,69778,0
47906,,KNBC,36,36,LOS ANGELES,CA,341332,1180355,1891,991,665,DA,69336,0
58608,,KNSO,11,11,MERCED,CA,370419,1192552,1442,622,45,ND,,
168338,,KMPH-CD,19,49,MERCED-MARIPOSA,CA,373159,1200137,1298,0,2.06,DA,103477,215
58609,,KUVS-DT,18,18,MODESTO,CA,380707,1204331,911,555,500,DA,36726,0
26249,,KION-TV,32,32,MONTEREY,CA,363205,1213718,1082,758,46,DA,44481,310
35703,,KTVU,31,44,OAKLAND,CA,374519,1222710,542,512,775,DA,94068,0
191793,,KPOM-CD,27,45,ONTARIO,CA,340213,1165810,1514.5,0,7.33,DA,16944,305
60549,,KFTR-DT,29,29,ONTARIO,CA,341336,1180402,1839,956,370,DA,96658,0
67013,,K21DO-D,21,21,PALM SPRINGS,CA,335201,1162606,488,0,15,DA,120806,225
16749,,KMIR-TV,26,46,PALM SPRINGS,CA,335200,1162602,519.6,212.5,80.5,DA,87466,0
25577,,KESQ-TV,28,42,PALM SPRINGS,CA,335158,1162611,496,227,31.7,DA,92841,0
10536,,KRET-CD,31,31,PALM SPRINGS,CA,335158,1162608,478,0,15,DA,93726,300
58605,,KCVU,17,20,PARADISE,CA,395749,1214242,1210,449,160,DA,89657,350
68666,,K17GD-D,17,17,PASO ROBLES,CA,353845,1204420,569,0,15,DA,118832,105
35512,,KTFF-DT,23,48,PORTERVILLE,CA,361714,1185020,1763,804,119,DA,38116,0
55083,,KXLA,30,51,RANCHO PALOS VERDES,CA,341335,1180401,1826,937,670,DA,65079,0
8291,,KRCR-TV,7,7,REDDING,CA,403610,1223904,1915,1095,84,DA,100020,0
47285,,KIXE-TV,9,9,REDDING,CA,403609,1223905,1910.1,1091,15,ND,,
34574,,KRDT-CD,23,23,REDDING,CA,403914,1223116,996,0,15,DA,101071,160
35855,,KVIE,9,9,SACRAMENTO,CA,381618,1213022,597.9,596.8,33,ND,,
25048,,KXTV,10,10,SACRAMENTO,CA,381424,1213007,613,611.9,28.6,ND,,
52891,,KEZT-CD,14,23,SACRAMENTO,CA,383359,1212850,94.6,0,3.62,DA,24161,90
18736,,KMUM-CD,19,31,SACRAMENTO,CA,384228,1212836,140,0,11.5,DA,94259,100
334,,K20JX-D,20,20,SACRAMENTO,CA,384958,1211909,135,0,4.7,DA,20735,215
52953,,KSPX-TV,22,48,SACRAMENTO,CA,381554,1212928,490.4,489,592,DA,44981,0
51499,,KMAX-TV,24,21,SACRAMENTO,CA,381554,1212928,582.8,581.2,910,ND,,
2424,,KBTV-CD,27,27,SACRAMENTO,CA,383359,1212851,95.9,0,15,DA,19181,80
10205,,KTXL,33,40,SACRAMENTO,CA,381618,1213022,602,601,867,DA,85579,0
33875,,KCRA-TV,35,35,SACRAMENTO,CA,381554,1212928,581,579,1000,ND,,
19653,,KSBW,8,8,SALINAS,CA,364523,1213009,1048,760,20.6,ND,,
14867,,KCBA,11,13,SALINAS,CA,364522,1213010,1014,720,19.7,DA,44925,0
167838,,KMMD-CD,28,39,SALINAS,CA,363205,1213713,1043.9,0,12,DA,20469,340
52888,,KDJT-CD,33,33,"SALINAS/MONTEREY,ETC",CA,364523,1213009,1019.8,0,8.97,DA,118353,0
58795,,KVCR-DT,5,26,SAN BERNARDINO,CA,335757,1171708,952.5,509.5,3.32,ND,,
58978,,KPXN-TV,24,38,SAN BERNARDINO,CA,341246,1180344,1706.6,909.3,746,DA,46152,0
